	HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK	Custom Input
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.9	0.0	0.0
9	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.7	0.0	0.0
10	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	0.0
11	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
12	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
13	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
14	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0
15	0.0	0.0	7.1	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0
16	0.0	0.0	11.7	0.0	0.0	0.9	0.0	0.3	0.0	0.0	0.0	0.0	20.0	3.0	0.0
17	0.0	0.0	13.4	0.0	0.0	1.5	0.0	0.6	0.0	0.0	0.0	0.0	20.0	4.0	0.0
18	0.0	0.0	14.9	0.0	0.0	1.6	3.5	1.2	0.0	0.0	0.0	0.0	20.0	4.0	0.0
19	0.0	0.0	17.7	0.0	0.0	1.7	5.7	2.4	0.0	0.0	0.0	0.0	20.0	5.0	0.0
20	0.0	0.0	20.1	0.0	0.0	1.8	5.8	4.0	0.0	0.0	0.0	0.0	20.0	6.0	0.0
21	0.0	0.24	20.6	0.0	0.0	1.9	6.3	5.7	0.0	0.0	0.0	0.0	20.0	7.0	0.0
22	0.0	1.25	20.9	0.0	0.0	2.1	7.0	7.1	0.0	0.0	0.0	0.0	20.0	8.0	0.0
23	0.0	3.56	21.4	0.0	0.0	2.3	7.2	8.4	0.0	0.0	0.0	0.0	20.0	9.0	0.0
24	0.0	6.2	23.5	0.0	0.0	2.6	6.9	9.4	0.0	0.0	0.0	0.0	20.0	9.0	0.0
25	0.19	8.81	24.0	0.0	0.0	3.2	6.5	10.2	0.0	0.0	0.0	0.0	20.0	10.0	0.0
26	1.0	11.4	24.3	0.0	0.0	4.1	7.7	10.9	0.0	0.0	0.0	0.0	20.0	11.0	0.0
27	1.51	13.74	23.9	0.0	0.0	5.5	8.4	11.4	0.0	0.0	0.0	0.0	20.0	12.0	0.0
28	2.66	15.89	23.5	0.0	0.0	7.2	7.8	12.1	0.0	0.0	0.0	0.0	20.0	13.0	0.0
29	4.64	17.26	22.0	0.0	0.0	9.0	7.6	13.2	0.0	0.0	0.0	0.0	20.0	13.0	0.0
30	6.96	18.15	19.4	0.0	0.0	10.5	7.8	14.5	0.0	0.0	0.0	0.0	16.2	14.0	0.0
31	8.86	19.06	17.1	0.0	0.0	11.6	8.0	15.8	4.3516	1.1	0.4	0.0	11.8	15.0	0.0
32	7.71	19.94	14.7	0.0	0.0	12.1	8.5	17.2	2.168	2.2	1.0	0.0	7.3	16.0	0.0
33	7.45	20.59	10.1	0.0	0.0	11.8	8.3	18.4	0.0	3.3	1.6	0.0	2.9	16.0	0.0
34	9.22	20.59	6.4	0.0	0.0	10.6	8.0	19.3	1.1816	4.5	2.5	0.0	0.0	17.0	0.0
35	10.0	20.08	4.7	0.0	0.0	8.6	7.3	20.0	2.3789	5.6	3.7	0.0	0.0	18.0	0.0
36	9.08	19.44	3.3	4.3	0.0	6.5	6.9	20.2	4.0586	6.7	5.0	0.0	0.0	19.0	0.0
37	10.08	18.7	2.2	9.1	0.0	4.4	4.5	20.3	5.7383	7.8	6.8	0.0	0.0	19.0	0.0
38	11.24	17.82	1.1	10.7	0.0	3.0	1.1	20.2	6.8242	9.0	9.1	0.0	0.0	20.0	0.0
39	12.79	16.92	0.1	10.6	0.0	2.4	0.6	20.0	7.9102	10.1	11.5	0.0	0.0	20.0	0.0
40	14.0	15.99	0.0	10.2	0.0	2.4	0.0	19.7	7.8965	11.2	13.6	0.0	0.0	20.0	0.0
41	12.58	15.15	0.0	9.7	0.0	2.7	0.0	19.2	7.8828	12.3	14.6	0.0	1.1	20.0	0.0
42	12.87	14.27	0.0	9.1	0.0	3.1	0.0	18.4	9.6895	13.5	14.8	0.0	3.4	20.0	0.0
43	13.0	13.39	0.0	9.2	0.0	3.2	0.0	17.1	11.4961	14.6	13.3	0.0	5.7	20.0	0.0
44	13.0	12.46	0.0	10.6	0.0	3.2	0.0	15.2	13.3594	15.7	10.8	0.0	7.8	20.0	0.0
45	13.68	11.58	0.0	12.4	0.0	3.0	0.0	12.8	15.2227	16.8	7.9	0.0	9.9	20.0	0.0
46	15.0	10.72	0.0	11.5	0.0	2.7	0.0	10.0	15.8614	18.0	5.0	0.0	11.9	20.0	0.0
47	15.0	9.87	0.0	8.2	0.0	2.3	0.0	7.0	16.5	19.1	2.7	0.0	13.8	20.0	0.0
48	13.37	8.63	0.0	4.6	0.0	2.0	0.0	4.2	16.4023	20.2	1.1	0.0	15.6	20.0	0.0
49	12.08	6.0	0.0	3.1	0.0	1.7	0.0	2.1	16.3047	21.3	0.3	0.0	17.4	20.0	0.0
50	12.26	3.19	0.0	1.9	0.0	1.5	0.0	0.9	16.207	22.5	0.0	0.0	19.1	20.0	0.0
51	14.29	2.91	0.0	0.2	0.0	1.3	0.0	0.4	15.5977	23.6	0.0	0.0	20.0	20.0	0.0
52	14.56	4.25	0.0	0.0	0.0	1.0	0.0	0.3	14.9883	24.7	0.0	0.0	20.0	20.0	0.0
53	15.2	5.96	0.0	0.0	0.0	0.7	0.0	0.0	13.7403	25.8	0.2	0.0	20.0	20.0	0.0
54	16.76	7.92	0.0	0.0	0.0	0.4	0.0	0.0	12.4922	27.0	1.0	0.0	20.0	20.0	0.0
55	17.0	10.06	0.0	0.0	0.66	0.2	0.0	0.0	11.0547	28.1	2.5	0.0	20.0	20.0	0.0
56	17.0	12.32	0.0	0.0	1.0	0.0	0.0	0.0	9.6172	29.2	4.3	0.0	20.0	20.0	0.0
57	17.23	14.65	0.0	0.0	0.03	0.0	0.0	0.0	6.9082	30.3	6.5	0.0	20.0	20.0	0.0
58	18.77	15.54	0.0	0.0	0.0	0.0	0.0	0.0	4.1992	31.5	8.8	0.0	20.0	20.0	0.0
59	20.54	14.56	0.0	0.0	0.57	0.0	0.0	0.0	3.1797	32.6	10.6	0.0	20.0	20.0	0.0
60	19.6	13.2	1.7	0.0	1.56	0.0	1.4	0.0	2.1602	33.7	11.8	0.0	20.0	20.0	0.0
61	18.14	11.98	4.0	0.0	0.4	0.0	3.6	0.3	1.1406	34.8	12.1	0.4	20.0	20.0	0.0
62	17.98	9.6	5.9	0.0	0.0	0.0	5.4	0.6	0.87109	36.0	11.3	0.7	20.0	20.0	0.0
63	17.0	7.1	7.3	0.0	0.92	0.0	7.8	1.2	0.60156	37.1	9.6	1.1	20.0	20.0	0.0
64	16.34	4.64	7.7	0.0	0.0	0.0	9.1	2.4	1.166	38.2	7.0	2.2	20.0	20.0	0.0
65	15.0	1.77	8.1	0.0	0.0	0.0	9.3	4.2	1.7305	38.7	4.4	4.0	20.0	20.0	0.0
66	15.0	0.46	8.8	0.0	0.0	0.0	11.4	6.1	1.8926	39.2	2.4	4.7	20.0	20.0	0.019417813
67	15.0	0.12	9.5	0.0	0.0	0.0	13.1	8.0	2.0547	39.7	1.0	5.8	20.0	20.0	0.572825469
68	15.96	0.0	11.2	0.0	0.0	0.0	13.2	9.6	3.4531	40.2	0.3	7.3	20.0	20.0	1.553425
69	12.35	0.0	11.3	0.0	0.0	0.0	14.7	10.9	4.8516	40.7	0.6	8.8	18.9	20.0	2.310719688
70	15.28	0.0	11.5	0.0	0.0	0.0	15.9	12.0	7.084	41.2	1.8	9.5	14.5	20.0	3.796182344
71	14.27	0.0	10.9	0.0	0.0	0.0	16.4	13.1	9.3164	41.7	4.0	10.2	10.0	20.0	6.029230781
72	12.59	0.0	10.4	0.0	0.0	0.0	16.5	13.8	10.7012	42.2	6.8	11.3	5.6	20.0	7.087501563
73	12.25	0.0	11.0	0.0	0.0	0.0	15.1	14.0	12.0859	42.7	9.8	12.8	1.1	20.0	7.252552969
74	9.28	0.0	11.5	0.0	0.65	0.0	14.6	14.0	11.7266	43.2	11.8	14.2	0.0	20.0	7.038957031
75	8.0	0.0	11.9	0.0	1.0	0.0	13.4	14.1	11.3672	43.7	12.6	14.2	0.0	20.0	7.572946875
76	8.0	0.0	12.5	0.0	1.96	0.0	12.1	14.6	9.4238	44.2	11.6	14.6	0.0	20.0	8.631217656
77	8.38	0.0	12.3	0.0	1.36	0.0	11.3	15.4	7.4805	44.7	9.3	14.2	0.0	20.0	9.55356375
78	9.53	0.0	11.5	0.0	3.72	0.0	9.6	16.2	5.9785	45.2	6.5	14.2	0.0	20.0	10.11668031
79	10.69	0.0	11.3	0.0	3.87	0.0	7.2	16.9	4.4766	45.7	3.9	13.5	0.0	20.0	10.50503656
80	11.0	0.0	11.5	0.0	5.59	0.0	5.2	17.4	3.3216	46.2	1.7	12.1	0.0	20.0	10.75746812
