HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
0	0	0	0	0	0	0	0	0	0	0	0	2.5	0
0	0	0	0	0	0	0	0	0	0	0	0	4.8	0
0	0	0	0	0	0	0	0	0	0	0	0	7	0
0	0	0	0	0	0	0	0	0	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0	0	0	11.1	0
0	0	0	0	0	0	0	0	0	0	0	0	13	0
0	0	0	0	0	0	0	0	0	0	0	0	14.9	0
0	0	0	0	0.42	0	0	0	0	0	0	0	16.7	0
0	0	0	0	0.43	0	0	0	0	0	0	0	18.4	0
0	0	0.3	0	0	0	0	0	0	0	0	0	20	0
0	0	0.6	0	0	0	0	0	0	0	0	0	20	0
0	0	2.8	0	0	0	0	0	0	0	0	0	20	0
0	0	4.9	0	0	0	0	0	0	0	0	0	20	1
0	0	7.1	0	0	0.4	0	0	0	0	0	0	20	2
0	0	11.7	0	0	0.9	0	0.3	0	0	0	0	20	3
0	0	13.4	0	0	1.5	0	0.6	0	0	0	0	20	4
0	0	14.9	0	0	1.6	3.5	1.2	0	0	0	0	20	4
0	0	17.7	0	0	1.7	5.7	2.4	0	0	0	0	20	5
0	0	20.1	0	0	1.8	5.8	4	0	0	0	0	20	6
0	0.24	20.6	0	0	1.9	6.3	5.7	0	0	0	0	20	7
0	1.25	20.9	0	0	2.1	7	7.1	0	0	0	0	20	8
0	3.56	21.4	0	0	2.3	7.2	8.4	0	0	0	0	20	9
0	6.2	23.5	0	0	2.6	6.9	9.4	0	0	0	0	20	9
0.19	8.81	24	0	0	3.2	6.5	10.2	0	0	0	0	20	10
1	11.4	24.3	0	0	4.1	7.7	10.9	0	0	0	0	20	11
1.51	13.74	23.9	0	0	5.5	8.4	11.4	0	0	0	0	20	12
2.66	15.89	23.5	0	0	7.2	7.8	12.1	0	0	0	0	20	13
4.64	17.26	22	0	0	9	7.6	13.2	0	0	0	0	20	13
6.96	18.15	19.4	0	0	10.5	7.8	14.5	0	0	0	0	16.2	14
8.86	19.06	17.1	0	0	11.6	8	15.8	4.3516	1.1	0.4	0	11.8	15
7.71	19.94	14.7	0	0	12.1	8.5	17.2	2.168	2.2	1	0	7.3	16
7.45	20.59	10.1	0	0	11.8	8.3	18.4	0	3.3	1.6	0	2.9	16
9.22	20.59	6.4	0	0	10.6	8	19.3	1.1816	4.5	2.5	0	0	17
10	20.08	4.7	0	0	8.6	7.3	20	2.3789	5.6	3.7	0	0	18
9.08	19.44	3.3	4.3	0	6.5	6.9	20.2	4.0586	6.7	5	0	0	19
10.08	18.7	2.2	9.1	0	4.4	4.5	20.3	5.7383	7.8	6.8	0	0	19
11.24	17.82	1.1	10.7	0	3	1.1	20.2	6.8242	9	9.1	0	0	20
12.79	16.92	0.1	10.6	0	2.4	0.6	20	7.9102	10.1	11.5	0	0	20
