,speed,acceleration,stp,BinNo
0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,1
2,0.0,0.0,0.0,1
3,0.0,0.0,0.0,1
4,0.0,0.0,0.0,1
5,0.0,0.0,0.0,1
6,0.0,0.0,0.0,1
7,0.0,0.0,0.0,1
8,0.0,0.0,0.0,1
9,0.0,0.0,0.0,1
10,0.0,0.0,0.0,1
11,0.0,0.0,0.0,1
12,0.0,0.0,0.0,1
13,0.0,0.0,0.0,1
14,0.0,0.0,0.0,1
15,0.0,0.0,0.0,1
16,0.0,0.0,0.0,1
17,0.0,0.0,0.0,1
18,0.0,0.0,0.0,1
19,0.0,0.0,0.0,1
20,0.0,0.0,0.0,1
21,0.0,0.0,0.0,1
22,0.0,0.0,0.0,1
23,0.0,0.0,0.0,1
24,0.0,0.0,0.0,1
25,0.19,0.19,0.020479895818442166,1
26,1.0,0.81,0.0,12
27,1.51,0.51,0.0,12
28,2.66,1.15,0.0,12
29,4.64,1.98,0.0,12
30,6.96,2.32,0.33544454617854225,12
31,8.86,1.9,0.6099956074408922,12
32,7.71,-1.15,0.0,12
33,7.45,-0.26,0.0,12
34,9.22,1.77,0.5376511563634793,12
35,10.0,0.78,2.2381910367449245,12
36,9.08,-0.92,0.0,12
37,10.08,1.0,2.6854749356038794,12
38,11.24,1.16,3.347692574523504,13
39,12.79,1.55,4.783396407853041,13
40,14.0,1.21,4.323440959235573,13
41,12.58,-1.42,0.0,12
42,12.87,0.29,0.0,12
43,13.0,0.13,0.0,12
44,13.0,0.0,0.0,12
45,13.68,0.68,2.819496575304173,12
46,15.0,1.32,4.959662318677564,13
47,15.0,0.0,0.0,12
48,13.37,-1.63,0.0,12
49,12.08,-1.29,0.0,12
50,12.26,0.18,0.0,12
51,14.29,2.03,6.68242717183052,14
52,14.56,0.27,0.0,12
53,15.2,0.64,3.027638643280898,13
54,16.76,1.56,6.337431396603122,14
55,17.0,0.24,0.0,12
56,17.0,0.0,0.0,12
57,17.23,0.23,0.0,12
58,18.77,1.54,7.049955253516145,14
59,20.54,1.77,8.655611697331384,14
60,19.6,-0.94,0.0,12
61,18.14,-1.46,0.0,12
62,17.98,-0.16,0.0,12
63,17.0,-0.98,0.0,12
64,16.34,-0.66,0.0,12
65,15.0,-1.34,0.0,12
66,15.0,0.0,0.0,12
67,15.0,0.0,0.0,12
68,15.96,0.96,4.174276123386225,13
69,12.35,-3.61,0.0,0
70,15.28,2.93,9.81458492487656,15
71,14.27,-1.01,0.0,12
72,12.59,-1.68,0.0,12
73,12.25,-0.34,0.0,12
74,9.28,-2.97,0.0,0
75,8.0,-1.28,0.0,12
76,8.0,0.0,0.0,12
77,8.38,0.38,0.0,12
78,9.53,1.15,0.0,12
79,10.69,1.16,3.18146568493221,13
80,11.0,0.31,0.0,12
81,9.0,-2.0,0.0,0
82,9.0,0.0,0.0,12
83,9.32,0.32,0.0,12
84,10.0,0.68,2.04470487148342,12
85,9.36,-0.64,0.0,12
86,9.0,-0.36,0.0,12
