,CycleBinCounts,Fraction,STPOMBin
0,0.0,0.0,0
1,16.0,1.509433962264151,1
11,0.0,0.0,11
12,48.0,4.528301886792453,12
13,39.0,3.6792452830188678,13
14,26.0,2.4528301886792456,14
15,8.0,0.7547169811320755,15
16,7.0,0.6603773584905661,16
21,0.0,0.0,21
22,11.0,1.0377358490566038,22
23,61.0,5.754716981132075,23
24,32.0,3.018867924528302,24
25,26.0,2.4528301886792456,25
27,17.0,1.6037735849056605,27
28,4.0,0.37735849056603776,28
29,3.0,0.2830188679245283,29
30,0.0,0.0,30
33,23.0,2.1698113207547167,33
35,102.0,9.622641509433963,35
37,9.0,0.8490566037735849,37
38,3.0,0.2830188679245283,38
39,0.0,0.0,39
40,0.0,0.0,40
