FuelType	LHV	HHV	CO2	CH4	N2O	VOC	CO	Nox	PM10	PM2.5	SO2 (Using GREET SOx)
Fuel	Btu/gal	Btu/gal	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu	g/mmBtu
gasoline	116090	124340	16812.31589	108.7375108	1.140491889	27.36469233	12.22926699	47.62905396	7.484937716	4.029615152	26.90728232
diesel	128450	137380	15487.70813	104.5274203	0.248293753	8.10839372	11.79563028	46.19959275	6.850494672	3.826838704	25.71240924
biodiesel	128450	137380	1272.331735	93.05916125	2.21527623	14.6567824	13.86544115	47.94069065	8.502814229	4.430741171	27.88670845
kerosene											
natural gas	983	1089									
CNG			11468.35597	246.5959814	0.17105559	6.666917281	9.897633615	32.80192378	9.137188934	3.05835205	30.03886758
LNG	74720	84820	12692.60453	199.0974198	0.261007908	6.599726797	11.94856301	44.74365577	1.962283082	1.244024297	14.90291438
propane	84250	91420									
LPG	84950	91410	9194.696721	115.2808269	0.158275936	10.47631955	11.24021204	39.86100082	3.747796028	2.200703473	25.27740763
ethane											
isobutane	90060	98560									
n-butane	94970	103220									
ethanol (E100)	76330	84530	-10464.42918	108.7287606	30.64060717						
methanol	57250	65200	24548.70805	168.5326141	0.580749054						
butanol	99837	108458									
hydrogen	30500	36020	111813.251	902.9259933	0.554107321	12.68069616	29.00173158	82.0353574	43.68958156	22.04139505	83.69118635
