,metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
0,100201921032,1,32,Atlanta Summer,0,2019,210,0.000206150277778,0.000862913888889,0.00129756388889,0.000120515555556,1.58701944444e-05,1.55472777778e-05,0.000516430555556,8.56347222222e-05,0.000111821944444,1.80753055556,2.3257954798e-05,1.81054166667,4.08408333333e-05,,,,,,3.75733333333e-05,3.42658333333e-06,2.62841944444e-05,,
1,101201921032,1,32,Atlanta Summer,1,2019,210,0.000165042777778,0.000744541666667,0.00204692777778,9.64838888889e-05,1.58701944444e-05,1.27029444444e-05,0.000814677777778,6.85588888889e-05,8.95238888889e-05,1.47684722222,1.9002993659e-05,1.47926111111,4.40944444444e-05,,,,,,4.05666666667e-05,3.68258333333e-06,2.83911111111e-05,,
2,111201921032,1,32,Atlanta Summer,11,2019,210,0.000247916111111,0.00231263611111,0.000561780555556,0.000144931944444,1.58701944444e-05,1.82483055556e-05,0.000223588333333,0.000102984444444,0.000134476944444,2.12155555556,2.7298709295e-05,2.12517777778,1.91060833333e-05,,,,,,1.75775277778e-05,1.64981111111e-06,1.22602222222e-05,,
3,112201921032,1,32,Atlanta Summer,12,2019,210,0.000285225,0.00334755555556,0.00154745555556,0.000166742222222,1.58701944444e-05,2.26350277778e-05,0.000615886111111,0.000118482222222,0.000154714166667,2.63155277778,3.3860762325e-05,2.63572222222,2.47630277778e-05,,,,,,2.27819166667e-05,2.11593055556e-06,1.59074444444e-05,,
4,113201921032,1,32,Atlanta Summer,13,2019,210,0.000341213888889,0.00366266666667,0.001930375,0.000199473055556,1.58701944444e-05,3.39686111111e-05,0.000768288888889,0.00014174,0.000185083888889,3.94919444444,5.08153654775e-05,3.95419444444,3.97691666667e-05,,,,,,3.65875e-05,3.378e-06,2.55627222222e-05,,
5,114201921032,1,32,Atlanta Summer,14,2019,210,0.000331361111111,0.00402294444444,0.00225488333333,0.000193713333333,1.58701944444e-05,4.48158333333e-05,0.000897444444444,0.000137647222222,0.000179739722222,5.21030555556,6.70422558e-05,5.21513888889,5.28525e-05,,,,,,4.86241666667e-05,4.48444444444e-06,3.39761111111e-05,,
6,115201921032,1,32,Atlanta Summer,15,2019,210,0.00031995,0.00470908333333,0.00269652222222,0.0001870425,1.58701944444e-05,5.54983333333e-05,0.00107321666667,0.000132906944444,0.00017355,6.45225,8.30227137025e-05,6.45691666667,6.71361111111e-05,,,,,,6.1765e-05,5.83030555556e-06,4.30552777778e-05,,
7,116201921032,1,32,Atlanta Summer,16,2019,210,0.000376752777778,0.00708897222222,0.00491155555556,0.000220250277778,1.58701944444e-05,7.14855555556e-05,0.00195480555556,0.000156503611111,0.000204362222222,8.31094444444,0.00010693903272,8.31644444444,0.0001095775,,,,,,0.000100811111111,9.91369444444e-06,6.99675e-05,,
8,121201921032,1,32,Atlanta Summer,21,2019,210,0.000302191666667,0.00308747222222,0.000295136111111,0.000176660833333,1.58701944444e-05,2.36858055556e-05,0.000117464722222,0.000125530277778,0.000163917222222,2.75371666667,3.54328221325e-05,2.75813333333,1.23392222222e-05,,,,,,1.13520555556e-05,1.12128611111e-06,7.87505555556e-06,,
9,122201921032,1,32,Atlanta Summer,22,2019,210,0.000332841666667,0.00388327777778,0.00176923888889,0.000194578611111,1.58701944444e-05,2.60939722222e-05,0.000704158333333,0.000138261944444,0.0001805425,3.03369444444,3.903531658e-05,3.03855555556,2.54694722222e-05,,,,,,2.34318333333e-05,2.20000277778e-06,1.63430277778e-05,,
10,123201921032,1,32,Atlanta Summer,23,2019,210,0.000378886111111,0.00496075,0.00208135555556,0.000221496666667,1.58701944444e-05,3.45355555556e-05,0.000828380555556,0.000157389166667,0.000205518888889,4.01511111111,5.16636616925e-05,4.02066666667,3.06341666667e-05,,,,,,2.81833333333e-05,2.65621944444e-06,1.96492222222e-05,,
11,124201921032,1,32,Atlanta Summer,24,2019,210,0.000355088888889,0.00560525,0.00241613333333,0.000207584444444,1.58701944444e-05,4.60980555556e-05,0.000961622222222,0.000147503611111,0.00019261,5.35938888889,6.8960532095e-05,5.36458333333,3.55263888889e-05,,,,,,3.26841666667e-05,3.07019444444e-06,2.27951111111e-05,,
12,125201921032,1,32,Atlanta Summer,25,2019,210,0.000318297222222,0.00566108333333,0.00278094444444,0.000186076111111,1.58701944444e-05,5.86516666667e-05,0.00110681666667,0.000132220277778,0.000172653333333,6.81886111111,8.7739946255e-05,6.8235,4.70894444444e-05,,,,,,4.33222222222e-05,4.10119444444e-06,3.019e-05,,
13,127201921032,1,32,Atlanta Summer,27,2019,210,0.000339111111111,0.00712286111111,0.00329941666667,0.000198244444444,1.58701944444e-05,8.01583333333e-05,0.00131316388889,0.000140866666667,0.000183943888889,9.31925,0.000119913067755,9.32419444444,5.78230555556e-05,,,,,,5.31969444444e-05,5.19277777778e-06,3.69508333333e-05,,
14,128201921032,1,32,Atlanta Summer,28,2019,210,0.000521766666667,0.0231011388889,0.00443447222222,0.000305025,1.58701944444e-05,0.000104909444444,0.00176491666667,0.000216741944444,0.000283022222222,12.1968055556,0.000156939275578,12.2044166667,0.000136528055556,,,,,,0.000125605277778,1.39148055556e-05,8.59727777778e-05,,
15,129201921032,1,32,Atlanta Summer,29,2019,210,0.000702477777778,0.0466027777778,0.00560219444444,0.000410666666667,1.58701944444e-05,0.000140747777778,0.002229675,0.000291808333333,0.000381044444444,16.3633888889,0.000210552017618,16.3736666667,0.000182286388889,,,,,,0.000167703055556,1.88457222222e-05,0.000114581666667,,
16,130201921032,1,32,Atlanta Summer,30,2019,210,0.00100771666667,0.15747,0.00850722222222,0.000589111111111,1.58701944444e-05,0.000156454722222,0.00338586111111,0.000418605555556,0.000546613888889,18.1894722222,0.00023404866433,18.2041944444,0.000477325,,,,,,0.000439138888889,5.15611111111e-05,0.000298333333333,,
17,133201921032,1,32,Atlanta Summer,33,2019,210,0.000458822222222,0.00328086111111,0.000814513888889,0.0002682275,1.58701944444e-05,3.68080555556e-05,0.000324175,0.000190594722222,0.000248878888889,4.27933333333,5.50631653325e-05,4.28602777778,3.792e-05,,,,,,3.48861111111e-05,3.41336111111e-06,2.42259444444e-05,,
18,135201921032,1,32,Atlanta Summer,35,2019,210,0.000445580555556,0.00414136111111,0.00234538888889,0.000260486388889,1.58701944444e-05,5.41152777778e-05,0.000933463888889,0.000185094166667,0.000241695833333,6.29144444444,8.09538398175e-05,6.29797222222,6.8475e-05,,,,,,6.29966666667e-05,6.08458333333e-06,4.38075e-05,,
19,137201921032,1,32,Atlanta Summer,37,2019,210,0.000438988888889,0.00478958333333,0.00283525,0.000256632777778,1.58701944444e-05,7.39877777778e-05,0.00112842777778,0.000182355833333,0.000238120277778,8.60183333333,0.00011068185674,8.60825,7.99388888889e-05,,,,,,7.35436111111e-05,7.03669444444e-06,5.11930555556e-05,,
20,138201921032,1,32,Atlanta Summer,38,2019,210,0.000546786111111,0.0216053888889,0.00383883333333,0.00031965,1.58701944444e-05,9.21791666667e-05,0.00152785555556,0.000227135,0.000296591666667,10.7167777778,0.00013789578907,10.7247777778,9.15261111111e-05,,,,,,8.42036111111e-05,8.19394444444e-06,5.85077777778e-05,,
